code,name,symbol,region,country,decimal_precision,enabled,data_provider,provider_symbol,provider_base,provider_quote,last_updated
CUP,Cuban Peso,CUP,Global FX,CUBA,2,true,Yahoo,CUP=X,USD,CUP,2026-08-22
CVE,Cabo Verde Escudo,CVE,Global FX,CABO VERDE,2,true,Yahoo,CVE=X,USD,CVE,2026-08-22
DJF,Djibouti Franc,DJF,Global FX,DJIBOUTI,0,true,Yahoo,DJF=X,USD,DJF,2026-08-22
DZD,Algerian Dinar,DZD,Global FX,ALGERIA,2,true,Yahoo,DZD=X,USD,DZD,2026-08-22
EGP,Egyptian Pound,EGP,Global FX,EGYPT,2,true,Yahoo,EGP=X,USD,EGP,2026-08-22
ERN,Nakfa,ERN,Global FX,ERITREA,2,false,,,,,2026-08-22
ETB,Ethiopian Birr,ETB,Global FX,ETHIOPIA,2,true,Yahoo,ETB=X,USD,ETB,2026-08-22
FJD,Fiji Dollar,FJD,Global FX,FIJI,2,true,Yahoo,FJD=X,USD,FJD,2026-08-22
FKP,Falkland Islands Pound,FKP,Global FX,FALKLAND ISLANDS (THE) [MALVINAS],2,false,,,,,2026-08-22
GEL,Lari,GEL,Global FX,GEORGIA,2,false,,,,,2026-08-22
GHS,Ghana Cedi,GHS,Global FX,GHANA,2,true,Yahoo,GHS=X,USD,GHS,2026-08-22
GIP,Gibraltar Pound,GIP,Global FX,GIBRALTAR,2,false,,,,,2026-08-22
GMD,Dalasi,GMD,Global FX,GAMBIA (THE),2,true,Yahoo,GMD=X,USD,GMD,2026-08-22
GNF,Guinean Franc,GNF,Global FX,GUINEA,0,true,Yahoo,GNF=X,USD,GNF,2026-08-22
GYD,Guyana Dollar,GYD,Global FX,GUYANA,2,true,Yahoo,GYD=X,USD,GYD,2026-08-22
HTG,Gourde,HTG,Global FX,HAITI,2,true,Yahoo,HTG=X,USD,HTG,2026-08-22
IDR,Rupiah,IDR,Global FX,INDONESIA,2,true,Yahoo,IDR=X,USD,IDR,2026-08-22
ILS,New Israeli Sheqel,ILS,Global FX,ISRAEL,2,true,Yahoo,ILS=X,USD,ILS,2026-08-22
IQD,Iraqi Dinar,IQD,Global FX,IRAQ,3,true,Yahoo,IQD=X,USD,IQD,2026-08-22
IRR,Iranian Rial,IRR,Global FX,IRAN (ISLAMIC REPUBLIC OF),2,true,Yahoo,IRR=X,USD,IRR,2026-08-22
ISK,Iceland Krona,ISK,Global FX,ICELAND,0,true,Yahoo,ISK=X,USD,ISK,2026-08-22
JMD,Jamaican Dollar,JMD,Global FX,JAMAICA,2,true,Yahoo,JMD=X,USD,JMD,2026-08-22
JOD,Jordanian Dinar,JOD,Global FX,JORDAN,3,true,Yahoo,JOD=X,USD,JOD,2026-08-22
KES,Kenyan Shilling,KES,Global FX,KENYA,2,true,Yahoo,KES=X,USD,KES,2026-08-22
KGS,Som,KGS,Global FX,KYRGYZSTAN,2,false,,,,,2026-08-22
KHR,Riel,KHR,Global FX,CAMBODIA,2,true,Yahoo,KHR=X,USD,KHR,2026-08-22
KMF,Comorian Franc,KMF,Global FX,COMOROS (THE),0,true,Yahoo,KMF=X,USD,KMF,2026-08-22
KPW,North Korean Won,KPW,Global FX,KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),2,false,,,,,2026-08-22
KWD,Kuwaiti Dinar,KWD,Global FX,KUWAIT,3,true,Yahoo,KWD=X,USD,KWD,2026-08-22
KYD,Cayman Islands Dollar,KYD,Global FX,CAYMAN ISLANDS (THE),2,true,Yahoo,KYD=X,USD,KYD,2026-08-22
KZT,Tenge,KZT,Global FX,KAZAKHSTAN,2,true,Yahoo,KZT=X,USD,KZT,2026-08-22
LAK,Lao Kip,LAK,Global FX,LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),2,true,Yahoo,LAK=X,USD,LAK,2026-08-22
LBP,Lebanese Pound,LBP,Global FX,LEBANON,2,true,Yahoo,LBP=X,USD,LBP,2026-08-22
LKR,Sri Lanka Rupee,LKR,Global FX,SRI LANKA,2,true,Yahoo,LKR=X,USD,LKR,2026-08-22
LRD,Liberian Dollar,LRD,Global FX,LIBERIA,2,true,Yahoo,LRD=X,USD,LRD,2026-08-22
LSL,Loti,LSL,Global FX,LESOTHO,2,true,Yahoo,LSL=X,USD,LSL,2026-08-22
LYD,Libyan Dinar,LYD,Global FX,LIBYA,3,true,Yahoo,LYD=X,USD,LYD,2026-08-22
MAD,Moroccan Dirham,MAD,Global FX,MOROCCO; WESTERN SAHARA,2,true,Yahoo,MAD=X,USD,MAD,2026-08-22
MDL,Moldovan Leu,MDL,Global FX,MOLDOVA (THE REPUBLIC OF),2,true,Yahoo,MDL=X,USD,MDL,2026-08-22
MGA,Malagasy Ariary,MGA,Global FX,MADAGASCAR,2,true,Yahoo,MGA=X,USD,MGA,2026-08-22
MKD,Denar,MKD,Global FX,NORTH MACEDONIA,2,true,Yahoo,MKD=X,USD,MKD,2026-08-22
MMK,Kyat,MMK,Global FX,MYANMAR,2,false,,,,,2026-08-22
MNT,Tugrik,MNT,Global FX,MONGOLIA,2,false,,,,,2026-08-22
MOP,Pataca,MOP,Global FX,MACAO,2,true,Yahoo,MOP=X,USD,MOP,2026-08-22
MRU,Ouguiya,MRU,Global FX,MAURITANIA,2,true,Yahoo,MRU=X,USD,MRU,2026-08-22
MUR,Mauritius Rupee,MUR,Global FX,MAURITIUS,2,true,Yahoo,MUR=X,USD,MUR,2026-08-22
MVR,Rufiyaa,MVR,Global FX,MALDIVES,2,true,Yahoo,MVR=X,USD,MVR,2026-08-22
MWK,Malawi Kwacha,MWK,Global FX,MALAWI,2,true,Yahoo,MWK=X,USD,MWK,2026-08-22
MYR,Malaysian Ringgit,MYR,Global FX,MALAYSIA,2,true,Yahoo,MYR=X,USD,MYR,2026-08-22
MZN,Mozambique Metical,MZN,Global FX,MOZAMBIQUE,2,true,Yahoo,MZN=X,USD,MZN,2026-08-22
NAD,Namibia Dollar,NAD,Global FX,NAMIBIA,2,true,Yahoo,NAD=X,USD,NAD,2026-08-22
NGN,Naira,NGN,Global FX,NIGERIA,2,true,Yahoo,NGN=X,USD,NGN,2026-08-22
NIO,Cordoba Oro,NIO,Global FX,NICARAGUA,2,true,Yahoo,NIO=X,USD,NIO,2026-08-22
NPR,Nepalese Rupee,NPR,Global FX,NEPAL,2,true,Yahoo,NPR=X,USD,NPR,2026-08-22
OMR,Rial Omani,OMR,Global FX,OMAN,3,true,Yahoo,OMR=X,USD,OMR,2026-08-22
PAB,Balboa,PAB,Global FX,PANAMA,2,true,Yahoo,PAB=X,USD,PAB,2026-08-22
PGK,Kina,PGK,Global FX,PAPUA NEW GUINEA,2,true,Yahoo,PGK=X,USD,PGK,2026-08-22
PHP,Philippine Peso,PHP,Global FX,PHILIPPINES (THE),2,true,Yahoo,PHP=X,USD,PHP,2026-08-22
PKR,Pakistan Rupee,PKR,Global FX,PAKISTAN,2,true,Yahoo,PKR=X,USD,PKR,2026-08-22
QAR,Qatari Rial,QAR,Global FX,QATAR,2,true,Yahoo,QAR=X,USD,QAR,2026-08-22
